DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
8/29/2018,42,54,48,606,1840
8/30/2018,40,54,47,607,1839
8/31/2018,38,54,46,607,1838
9/1/2018,39,55,47,607,1837
9/2/2018,40,56,48,607,1836
9/3/2018,41,58,50,607,1836
9/4/2018,39,59,49,608,1835
9/5/2018,40,59,50,608,1834
9/6/2018,37,55,46,608,1833
9/7/2018,38,53,46,608,1832
9/8/2018,38,53,46,608,1831
9/9/2018,39,54,47,609,1830
9/10/2018,37,56,47,609,1829
9/11/2018,41,58,50,609,1828
9/12/2018,42,52,47,609,1828
9/13/2018,40,51,46,609,1827
9/14/2018,36,55,46,610,1826
9/15/2018,39,54,47,610,1825
9/16/2018,39,56,48,610,1824
9/17/2018,41,57,49,610,1823
9/18/2018,40,54,47,610,1822
9/19/2018,43,57,50,611,1821
9/20/2018,41,57,49,611,1820
9/21/2018,42,60,51,611,1819
9/22/2018,44,63,54,611,1819
9/23/2018,46,61,54,611,1818
9/24/2018,41,60,51,612,1817
9/25/2018,41,56,49,612,1816
9/26/2018,40,54,47,612,1815
9/27/2018,40,56,48,612,1814
9/28/2018,43,59,51,612,1813
9/29/2018,43,61,52,613,1812
9/30/2018,43,62,53,613,1811
10/1/2018,40,63,52,613,1811
10/2/2018,41,56,49,613,1810
10/3/2018,40,59,50,614,1809
10/4/2018,43,58,51,614,1808
10/5/2018,42,56,49,614,1807
10/6/2018,40,51,46,614,1806
10/7/2018,42,51,47,615,1805
10/8/2018,42,52,47,615,1805
10/9/2018,40,52,46,615,1804
10/10/2018,39,51,45,615,1803
10/11/2018,39,53,46,616,1802
10/12/2018,38,54,46,616,1801
10/13/2018,41,54,48,616,1801
10/14/2018,39,56,48,616,1800
10/15/2018,38,52,45,617,1759
10/16/2018,40,55,48,617,1758
10/17/2018,37,52,45,617,1758
10/18/2018,37,51,44,618,1757
10/19/2018,,,,618,1756
10/20/2018,38,48,43,618,1755
10/21/2018,36,47,42,619,1755
10/22/2018,35,52,44,619,1754
10/23/2018,37,52,45,620,1753
10/24/2018,40,54,47,620,1753
10/25/2018,38,56,47,620,1752
10/26/2018,37,53,45,621,1752
10/27/2018,38,52,45,621,1751
10/28/2018,41,52,47,622,1750
10/29/2018,38,53,46,622,1750
10/30/2018,44,53,49,622,1749
10/31/2018,43,55,49,623,1749
11/1/2018,41,57,49,623,1748
11/2/2018,35,52,44,624,1748
11/3/2018,34,46,40,624,1747
11/4/2018,33,46,40,625,1747
11/5/2018,35,51,43,625,1746
11/6/2018,32,48,40,626,1746
11/7/2018,35,48,42,626,1746
11/8/2018,33,51,42,627,1745
11/9/2018,37,52,45,627,1745
11/10/2018,39,53,46,628,1745
11/11/2018,34,52,43,628,1744
11/12/2018,33,56,45,629,1744
11/13/2018,37,55,46,629,1744
11/14/2018,38,56,47,630,1743
11/15/2018,38,53,46,630,1743
11/16/2018,40,52,46,631,1743
11/17/2018,40,52,46,632,1743
11/18/2018,37,51,44,632,1743
11/19/2018,35,51,43,633,1743
11/20/2018,35,54,45,633,1742
11/21/2018,34,54,44,634,1742
11/22/2018,32,50,41,635,1742
11/23/2018,33,51,42,635,1742
11/24/2018,41,54,48,636,1742
11/25/2018,38,57,48,636,1742
11/26/2018,41,56,49,637,1742
11/27/2018,40,57,49,638,1742
11/28/2018,42,56,49,638,1742
11/29/2018,38,57,48,639,1742
11/30/2018,38,52,45,640,1742
12/1/2018,36,52,44,640,1743
12/2/2018,33,51,42,641,1743
12/3/2018,36,53,45,641,1743
12/4/2018,39,56,48,642,1743
12/5/2018,36,53,45,643,1743
12/6/2018,36,52,44,643,1743
12/7/2018,37,53,45,644,1744
12/8/2018,34,53,44,645,1744
12/9/2018,36,53,45,645,1744
12/10/2018,36,55,46,646,1745
12/11/2018,38,56,47,646,1745
12/12/2018,39,54,47,647,1745
12/13/2018,36,54,45,648,1746
12/14/2018,36,56,46,648,1746
12/15/2018,40,53,47,649,1746
12/16/2018,40,57,49,649,1747
12/17/2018,42,60,51,650,1747
12/18/2018,35,51,43,650,1748
12/19/2018,32,51,42,651,1748
12/20/2018,37,58,48,651,1749
12/21/2018,42,57,50,652,1749
12/22/2018,40,54,47,652,1750
12/23/2018,39,55,47,653,1750
12/24/2018,36,52,44,653,1751
12/25/2018,36,48,42,654,1751
12/26/2018,35,45,40,654,1752
12/27/2018,33,44,39,655,1752
12/28/2018,33,47,40,655,1753
12/29/2018,36,47,42,655,1753
12/30/2018,39,52,46,656,1754
